group,"$1,000,000 or more","$500,000 to $999,999","$250,000 to $499,999","$150,000 to $249,999","$100,000 to $149,999","$60,000 to $99,999","$35,000 to $59,999","$34,999 or less",Unsure
Varsity,72,65,69,40,24,12,6,3,85
Not Varsity,58,47,58,36,29,20,10,15,107
