label,value
"$1,000,000 or more",152
"$500,000 to $999,999",121
"$250,000 to $499,999",140
"$150,000 to $249,999",86
"$100,000 to $149,999",61
"$60,000 to $99,999",37
"$35,000 to $59,999",18
"$34,999 or less",24
Unsure,220
