group,Asian,Black,"Native Hawaiian or Pacific Islander", "Indigenous Peoples of the Americas", "Latine/Hispanic","White (Including Middle Eastern/North African)"
Varsity,199,51,8,9,36,209
Not Varsity,155,47,1,3,47,156
