label,value
African American,81
Asian American,236
Broadly European,141
East Asian,159
East European,85
Ethnically Jewish,56
Hispanic,72
Latine,70
Mediterranean,26
Middle Eastern,35
Native American,18
North African,9
Pacific Islander,11
Scandinavian,27
South Asian,57
Southeast Asian,36
Sub-Saharan African,26
West Indian/Caribbean,34
West European,167
Other,15
