label,value
Al Jazeera,4
AP,10
BBC,15
Buzzfeed,2
CNBC,2
CNN,54
Daily Mail,5
Financial Times,7
Forbes,4
Fox News,14
New York Post,12
NPR,14
The Guardian,4
The Intercept,0
The New York Times,325
The Wall Street Journal,30
The Washington Post,6
Vox Media,1
Social Media,226
Not applicable (I don't read the news),59
Other (please specify),26
