group,Communist,Conservative,Liberal,Libertarian,Socialist,Unsure
"Extremely Informed",2.27 , 25, 47.7, 4.55, 6.82, 13.6
"Very Informed", 0, 16.6, 60.4, 2.37, 5.92, 14.8
"Moderately Informed", 1.72, 11.3, 58.5, 1.72, 2.7, 24.1
"Slightly Informed", 0, 12, 36, 1.33,0.67, 50
"Not Informed", 3.45, 3.45, 20.7, 0, 0, 72.4
