group,"Conservative", "Liberal", "Unsure", "Libertarian", "Socialist", "Communist"
Man, 19.7, 41.4, 30.4, 3.77, 3.91, 1.45 
Woman, 7.6, 61.8, 27.2, 0.461, 2.3, 0.691
