group,Communist,Conservative,Liberal,Libertarian,Socialist,Unsure
"Yes, censored", 1.39, 2.99, 39.3, 3.6, 2.77, 27.7
"No, not censored", 0.92, 25.2, 64.1, 0.46, 3.22, 28.3
