group,"6.0","5.8","5.6","5.4","5.2","5.0","4.8","4.6","4.4","4.2","4.0"
Uses study drugs,6.98,14,14,9.3,14,20.9,2.33,16.3,2.33,0,0
Does not use study drugs,12.6,19.7,19.8,15.6,12.9,8.53,5.2,3.76,1.01,0.289,0.723
