group,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0
Varsity Athlete,34,66,82,56,50,33,21,13,4,2,3
Non-Varsity Athlete,56,76,63,53,44,35,17,18,4,0,2
