group,6.0,5.8,5.6,5.4,5.2,5.0
9 Hours,1,7,10,7,4,2
8 Hours,17,46,35,29,25,15
7 Hours,51,55,56,44,44,27
6 Hours,17,25,32,26,15,17
5 Hours,6,11,10,5,4,5
