label,value
6,93
5.8,143
5.6,145
5.4,112
5.2,95
5,69
4.8,38
4.6,33
4.4,8
4.2,2
4,5
3.8,0
3.6,1
3.4,0
3.2,0
3,2
2.8,0
2.6,0
2.4,0
2.2,0
2.0-,6
