label,value
"Art",96
"Computer Science",28
"English",543
"History and Social Science",527
"Mathematics",229
"Music",36
"Natural Sciences",214
"Philosophy and Religious Studies",249
"Physical Education",10
"Statistics",16
"Theatre and Dance",26
"World Languages",213
"Not applicable (Does not exist)",47
