group,6.0,5.8,5.6,5.4,5.2,5.0,4.8,4.6,4.4,4.2,4.0
Asian,64,89,75,44,30,26,10,8,1,0,2
Black, 3,9,7,16,23,15,9,6,4,0,0
White, 34,55,73,61,53,31,21,18,4,2,2
Hispanic, 4,8,12,14,14,12,6,6,0,1,1
